Designator;Mid X mm (mm);Mid Y mm (mm);Layer;Rotation
R27;18.891;101.282;Top;0.0
R28;130.334;181.769;Top;0.0
R29;18.891;102.87;Top;180.0
R30;130.334;183.674;Top;0.0
R31;101.759;32.226;Top;270.0
R32;21.749;98.584;Top;0.0
R33;13.811;96.361;Top;0.0
R34;13.811;93.186;Top;0.0
R35;13.811;102.711;Top;0.0
R36;23.654;58.261;Top;90.0
R37;13.652;64.611;Top;0.0
R38;13.811;90.011;Top;0.0
R39;101.759;20.638;Top;270.0
R40;45.244;4.445;Top;90.0
R42;109.855;173.355;Top;0.0
R43;132.398;142.399;Bottom;90.0
R44;109.855;174.942;Top;0.0
R45;129.223;142.399;Bottom;270.0
R46;19.368;160.179;Top;0.0
R47;21.356;2.064;Top;180.0
R48;8.974;2.222;Top;180.0
R49;6.509;4.286;Top;180.0
R50;18.891;4.127;Top;180.0
R51;34.607;4.127;Top;180.0
R52;7.461;32.385;Top;0.0
R53;41.116;32.067;Top;270.0
R54;133.191;95.25;Top;0.0
R55;7.303;43.974;Top;0.0
R57;120.62;2.064;Top;180.0
R58;65.013;2.064;Top;180.0
R60;62.548;4.127;Top;180.0
R61;7.303;42.386;Top;0.0
R62;133.033;90.329;Top;0.0
R63;6.35;126.047;Top;90.0
R64;6.35;116.046;Top;90.0
R65;135.414;2.064;Top;180.0
R66;134.854;4.127;Top;180.0
R67;116.999;4.128;Top;180.0
R68;81.499;2.136;Top;180.0
R69;47.942;3.651;Top;0.0
R70;78.875;4.041;Top;180.0
R71;16.51;160.179;Top;180.0
R72;132.874;118.745;Top;180.0
R73;133.509;162.243;Bottom;270.0
R74;130.334;162.243;Bottom;270.0
R75;128.429;113.189;Top;0.0
R76;48.736;49.371;Top;180.0
R77;133.509;128.905;Bottom;90.0
R78;130.334;128.905;Bottom;270.0
R79;133.032;125.571;Top;180.0
R80;129.857;125.571;Top;0.01
R81;126.048;125.571;Top;0.0
R82;28.734;46.037;Top;90.0
R83;30.163;46.037;Top;270.0
R84;33.02;46.037;Top;90.0
R85;34.449;46.037;Top;90.0
R86;38.735;46.037;Top;90.0
R87;37.306;46.037;Top;90.0
R88;25.718;32.067;Top;270.0
R90;129.064;178.911;Top;90.0
R91;123.984;162.243;Bottom;270.0
R92;127.159;128.905;Bottom;270.0
R93;126.048;142.399;Bottom;270.0
R94;117.951;147.32;Top;90.0
R95;119.38;147.32;Top;90.0
R96;122.872;142.081;Top;90.0
R97;122.872;139.224;Top;90.0
R98;120.015;135.255;Top;270.0
R99;118.586;135.255;Top;270.0
R101;2.381;131.604;Top;180.0
R102;-2.223;131.604;Top;0.0
R103;54.522;53.251;Top;270.0
R104;100.806;34.925;Top;180.0
R105;100.806;36.513;Top;0.0
R106;104.299;71.279;Top;0.0
R107;104.299;69.85;Top;0.0
R108;127.159;181.134;Top;0.0
R109;126.365;182.563;Top;0.0
R110;117.455;106.045;Top;0.0
R140;127.159;162.243;Bottom;270.0
R141;94.774;-0.794;Top;180.0
R142;106.68;-0.635;Top;0.0
S1;20.638;30.162;Top;0.0
S2;131.763;30.797;Top;0.0
S3;103.029;84.772;Top;0.0
S4;131.763;21.749;Top;0.0
S5;96.679;30.797;Top;0.0
S6;96.679;19.209;Top;0.0
S7;131.604;174.149;Top;180.0
S8;35.878;30.162;Top;0.0
TP1;47.308;28.416;Top;180.0
TP2;16.51;23.971;Top;180.0
TP3;92.71;12.7;Top;180.0
TP4;49.848;1.905;Top;0.0
TP5;103.188;12.7;Top;180.0
TP6;140.494;28.258;Top;180.0
TP7;30.798;20.479;Top;180.0
TP8;130.016;169.386;Top;0.0
TP9;128.905;147.161;Top;0.0
TP10;1.27;23.971;Top;180.0
U1;117.911;46.365;Top;0.0
U2;129.858;190.659;Top;90.0
U3;27.305;180.499;Top;0.0
U4;26.103;75.119;Top;270.0
U5;129.858;107.156;Top;180.0
U6;21.264;120.249;Top;0.0
U7;26.103;100.202;Top;270.0
U9;30.877;173.116;Top;90.0
U10;74.533;-1.032;Top;0.0
U11;58.023;-1.032;Top;0.0
U12;117.374;103.446;Bottom;180.0
U13;81.598;140;Top;0.0
U16;22.146;43.576;Top;90.0
U17;92.869;-7.184;Top;0.0
U19;104.826;-7.184;Top;0.0
U20;16.59;43.576;Top;90.0
U21;21.272;149.384;Top;0.0
U24;104.775;100.965;Top;0.0
U26;33.496;41.434;Top;270.0
U27;118.11;139.859;Top;180.0
